price,brand,model,year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,car_age
5975000.0,Toyota,Yaris,2009,Used,Automatic,Saloon,Petrol,1300,135000,17
46800000.0,Toyota,Land Cruiser Sahara,2011,Used,Automatic,SUV / 4x4,Diesel,4600,95000,15
17950000.0,Honda,Vezel,2026,Brand New,Tiptronic,SUV / 4x4,Hybrid,1500,0,0
12400000.0,Kia,Other Model,2026,Brand New,Automatic,Hatchback,Petrol,990,0,0
56000000.0,Toyota,Land Cruiser Prado,2024,Used,Automatic,SUV / 4x4,Petrol,2777,3200,2
18500000.0,BMW,520d,2012,Used,Automatic,Saloon,Diesel,1995,50800,14
30700000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
16900000.0,Honda,CRV,2019,Used,Automatic,SUV / 4x4,Petrol,1500,130000,7
68500000.0,Land Rover,Range Rover,2019,Used,Automatic,SUV / 4x4,Hybrid,2000,33000,7
18500000.0,Toyota,Yaris Ativ,2025,Brand New,Automatic,Saloon,Hybrid,1500,0,1
28900000.0,Toyota,Hilux,2026,Brand New,Tiptronic,SUV / 4x4,Diesel,2800,0,0
21000000.0,Volkswagen,ID-4 STYLISH,2023,Used,Automatic,SUV / 4x4,Electric,109,34000,3
7350000.0,Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Hatchback,Petrol,660,6000,2
43500000.0,BMW,740Le,2018,Used,Automatic,Unknown,Petrol,2000,27000,8
51800000.0,Toyota,Land Cruiser Prado,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,2800,14000,3
16200000.0,Toyota,Yaris Ativ,2025,Brand New,Tiptronic,Saloon,Petrol,1200,0,1
28150000.0,Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,2800,0,1
17500000.0,BMW,520d,2012,Used,Automatic,Saloon,Diesel,2000,76000,14
32900000.0,Ford,Raptor Ranger,2025,Brand New,Tiptronic,Coupe/Sports,Diesel,2000,0,1
24790000.0,BMW,318i,2019,Reconditioned,Automatic,Saloon,Petrol,1500,24000,7
5875000.0,Toyota,Corolla,2003,Used,Automatic,Saloon,Petrol,1500,175000,23
3875000.0,Suzuki,A-Star,2012,Used,Manual,Hatchback,Petrol,1000,67000,14
14000000.0,Toyota,Prius,2014,Used,Automatic,Saloon,Hybrid,1790,96000,12
15800000.0,Audi,A3,2023,Used,Automatic,Hatchback,Petrol,1000,35000,3
11525000.0,Kia,Other Model,2025,Brand New,Automatic,Hatchback,Petrol,1000,100,1
19800000.0,Mercedes Benz,S350,2011,Used,Tiptronic,Saloon,Petrol,3500,166000,15
13250000.0,Hyundai,Venue,2025,Brand New,Tiptronic,SUV / 4x4,Petrol,1000,0,1
58950000.0,Toyota,Land Cruiser Prado,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,2700,4000,2
15850000.0,Honda,CRV,2018,Used,Automatic,SUV / 4x4,Petrol,1500,132000,8
21000000.0,Kia,Seltos,2026,Brand New,Tiptronic,SUV / 4x4,Petrol,1500,0,0
7250000.0,Toyota,Axio,2009,Used,Automatic,Saloon,Petrol,1500,155000,17
14150000.0,Toyota,Raize,2025,Brand New,Automatic,Station wagon,Petrol,1200,0,1
18500000.0,Toyota,Yaris Ativ,2025,Brand New,Automatic,Saloon,Hybrid,1500,0,1
8200000.0,Nissan,Dayz,2024,Brand New,Automatic,Hatchback,Hybrid,660,600,2
32500000.0,Mitsubishi,Pajero,2015,Used,Tiptronic,SUV / 4x4,Diesel,3200,134000,11
21000000.0,Volkswagen,ID-4 STYLISH,2023,Used,Automatic,SUV / 4x4,Electric,109,34000,3
7350000.0,Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Hatchback,Petrol,660,6000,2
10600000.0,Toyota,Premio,2015,Used,Automatic,Saloon,Petrol,1500,88000,11
13700000.0,Honda,City,2025,Brand New,Tiptronic,Saloon,Petrol,1000,0,1
7000000.0,Kia,Rio,2015,Used,Automatic,Saloon,Petrol,1400,16502,11
6800000.0,Toyota,IST,2009,Used,Automatic,Hatchback,Petrol,1500,116000,17
16200000.0,Toyota,Yaris Ativ,2025,Brand New,Tiptronic,Saloon,Petrol,1200,0,1
29500000.0,BMW,X1,2025,Import,Automatic,SUV / 4x4,Petrol,1500,3000,1
25800000.0,Toyota,Hilux,2025,Brand New,Tiptronic,SUV / 4x4,Diesel,2800,0,1
15975000.0,Toyota,Yaris Ativ,2025,Brand New,Tiptronic,Saloon,Petrol,1200,0,1
5500000.0,Mahindra,KUV 100,2021,Used,Manual,Hatchback,Petrol,1198,49000,5
11000000.0,Toyota,Premio,2013,Used,Automatic,Saloon,Petrol,1500,164000,13
9150000.0,Toyota,Roomy,2023,Reconditioned,Automatic,MPV,Petrol,1000,12000,3
26900000.0,BMW,520d,2013,Used,Automatic,Saloon,Diesel,2000,160000,13
12600000.0,Honda,Civic,2018,Used,Automatic,Hatchback,Petrol,1000,79000,8
47500000.0,Land Rover,Range Rover Sport,2019,Used,Tiptronic,SUV / 4x4,Petrol,2000,50000,7
13925000.0,Toyota,Raize,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1200,0,1
4890000.0,Nissan,Sunny,2007,Used,Manual,Saloon,Petrol,1300,275000,19
10000000.0,Toyota,Hilux,2011,Used,Manual,SUV / 4x4,Diesel,2500,148532,15
31800000.0,Honda,CRV,2025,Brand New,Automatic,SUV / 4x4,Petrol,1500,0,1
51885000.0,Toyota,Land Cruiser Prado,2023,Reconditioned,Automatic,SUV / 4x4,Hybrid,2700,18000,3
3800000.0,Suzuki,Alto,2015,Used,Manual,Hatchback,Petrol,800,117000,11
5290000.0,Suzuki,Celerio,2017,Used,Automatic,Hatchback,Petrol,1000,115000,9
11700000.0,Honda,Vezel,2016,Used,Automatic,SUV / 4x4,Petrol,1490,91000,10
11000000.0,Toyota,Axio,2016,Used,Automatic,Saloon,Petrol,1500,78000,10
12385000.0,MG,ZS,2025,Brand New,Automatic,SUV / 4x4,Petrol,1000,0,1
6700000.0,Toyota,Vitz,2016,Used,Automatic,Hatchback,Petrol,1000,61000,10
8990000.0,Nissan,Roox,2024,Brand New,Automatic,Unknown,Hybrid,660,0,2
7975000.0,Toyota,Aqua,2014,Used,Automatic,Saloon,Hybrid,1500,73000,12
4275000.0,Perodua,Viva Elite,2010,Used,Automatic,Hatchback,Petrol,1000,88000,16
10750000.0,Kia,Sportage,2015,Used,Tiptronic,SUV / 4x4,Diesel,2000,139000,11
9975000.0,Suzuki,Spacia,2025,Brand New,Automatic,MPV,Hybrid,1000,0,1
16950000.0,Jeep,Compass,2019,Used,Automatic,SUV / 4x4,Petrol,1400,46000,7
7875000.0,Daihatsu,Taft,2024,Used,Automatic,Hatchback,Petrol,650,1800,2
54700000.0,Toyota,Land Cruiser Prado,2024,Import,Automatic,SUV / 4x4,Petrol,2700,9000,2
13500000.0,Toyota,CHR,2018,Brand New,Automatic,Hatchback,Petrol,1200,76212,8
21300000.0,Nissan,Serena,2025,Brand New,Automatic,MPV,Hybrid,1400,47,1
10250000.0,Toyota,Roomy,2024,Used,Automatic,MPV,Petrol,1000,1500,2
9050000.0,Suzuki,Spacia,2025,Import,Automatic,Hatchback,Hybrid,660,0,1
14300000.0,Toyota,Raize,2025,Brand New,Automatic,SUV / 4x4,Hybrid,1200,0,1
3600000.0,Suzuki,Alto,2015,Used,Manual,Hatchback,Petrol,800,144355,11
3975000.0,Micro,Geely,2017,Used,Automatic,Unknown,Petrol,1000,60000,9
12250000.0,Honda,CRV,2013,Used,Automatic,Unknown,Petrol,1990,169000,13
7150000.0,Toyota,Vitz,2019,Used,Automatic,Hatchback,Petrol,998,68000,7
