url,price,brand,model,year,condition,transmission,body_type,fuel_type,engine_capacity,mileage
https://ikman.lk/en/ad/toyota-yaris-2009-for-sale-colombo-30,"Rs 5,975,000",Toyota,Yaris,2009,Used,Automatic,Saloon,Petrol,"1,300 cc","135,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-vx-v8-2011-for-sale-gampaha-2,"Rs 46,800,000",Toyota,Land Cruiser Sahara,2011,Used,Automatic,SUV / 4x4,Diesel,"4,600 cc","95,000 km"
https://ikman.lk/en/ad/honda-vezel-hybrid-e-hev-z-2026-for-sale-kandy,"Rs 17,950,000",Honda,Vezel,2026,Brand New,Tiptronic,SUV / 4x4,Hybrid,"1,500 cc",0 km
https://ikman.lk/en/ad/kia-sonet-2026-for-sale-colombo,"Rs 12,400,000",Kia,Other Model,2026,Brand New,Automatic,Hatchback,Petrol,990 cc,0 km
https://ikman.lk/en/ad/toyota-land-cruiser-prado-lc-250-2024-for-sale-colombo-18,"Rs 56,000,000",Toyota,Land Cruiser Prado,2024,Used,Automatic,SUV / 4x4,Petrol,"2,777 cc","3,200 km"
https://ikman.lk/en/ad/bmw-520d-2012-for-sale-colombo-1232,"Rs 18,500,000",BMW,520d,2012,Used,Automatic,Saloon,Diesel,"1,995 cc","50,800 km"
https://ikman.lk/en/ad/toyota-hilux-travo-overland-plus-2025-for-sale-colombo-103,"Rs 30,700,000",Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/honda-crv-masterpiece-2019-for-sale-colombo-47,"Rs 16,900,000",Honda,CRV,2019,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","130,000 km"
https://ikman.lk/en/ad/land-rover-range-lwb-autobiography-2019-for-sale-colombo-36,"Rs 68,500,000",Land Rover,Range Rover,2019,Used,Automatic,SUV / 4x4,Hybrid,"2,000 cc","33,000 km"
https://ikman.lk/en/ad/toyota-yaris-ativ-gr-sport-15-hev-2025-for-sale-colombo,"Rs 18,500,000",Toyota,Yaris Ativ,2025,Brand New,Automatic,Saloon,Hybrid,"1,500 cc",0 km
https://ikman.lk/en/ad/toyota-hilux-travo-overland-plus-2026-for-sale-colombo-27,"Rs 28,900,000",Toyota,Hilux,2026,Brand New,Tiptronic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/volkswagen-id-4-stylish-2023-for-sale-gampaha,"Rs 21,000,000",Volkswagen,ID-4 STYLISH,2023,Used,Automatic,SUV / 4x4,Electric,109 cc,"34,000 km"
https://ikman.lk/en/ad/suzuki-wagon-r-fx-red-2024-for-sale-colombo,"Rs 7,350,000",Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Hatchback,Petrol,660 cc,"6,000 km"
https://ikman.lk/en/ad/bmw-740le-lwb-m-sport-2018-for-sale-colombo-2,"Rs 43,500,000",BMW,740Le,2018,Used,Automatic,,Petrol,"2,000 cc","27,000 km"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-2023-for-sale-colombo-16,"Rs 51,800,000",Toyota,Land Cruiser Prado,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,"2,800 cc","14,000 km"
https://ikman.lk/en/ad/toyota-yaris-ativ-premium-luxury-black-2025-for-sale-colombo-2,"Rs 16,200,000",Toyota,Yaris Ativ,2025,Brand New,Tiptronic,Saloon,Petrol,"1,200 cc",0 km
https://ikman.lk/en/ad/toyota-hilux-travo-overland-plus-2025-for-sale-colombo-137,"Rs 28,150,000",Toyota,Hilux,2025,Brand New,Automatic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/bmw-520d-2012-for-sale-colombo-1234,"Rs 17,500,000",BMW,520d,2012,Used,Automatic,Saloon,Diesel,"2,000 cc","76,000 km"
https://ikman.lk/en/ad/toyota-corolla-sprinter-1989-for-sale-colombo,"Rs 1,280,000",Toyota,Corolla,1989,Used,Manual,Station wagon,Petrol,"1,450 cc","88,000 km"
https://ikman.lk/en/ad/ford-raptor-ranger-2l-diesel-bi-turbo-2025-for-sale-colombo-7,"Rs 32,900,000",Ford,Raptor Ranger,2025,Brand New,Tiptronic,Coupe/Sports,Diesel,"2,000 cc",0 km
https://ikman.lk/en/ad/bmw-318i-m-individual-2019-for-sale-colombo-1,"Rs 24,790,000",BMW,318i,2019,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc","24,000 km"
https://ikman.lk/en/ad/toyota-corolla-nze-121-2003-for-sale-colombo-13,"Rs 5,875,000",Toyota,Corolla,2003,Used,Automatic,Saloon,Petrol,"1,500 cc","175,000 km"
https://ikman.lk/en/ad/suzuki-a-star-brand-new-2012-for-sale-colombo-2,"Rs 3,875,000",Suzuki,A-Star,2012,Used,Manual,Hatchback,Petrol,"1,000 cc","67,000 km"
https://ikman.lk/en/ad/mitsubishi-lancer-c12-1987-for-sale-colombo-13,"Rs 785,000",Mitsubishi,Lancer,1987,Used,Manual,Saloon,Petrol,"1,400 cc","548,227 km"
https://ikman.lk/en/ad/nissan-sunny-hb310-square-light-1984-for-sale-kalutara,"Rs 650,000",Nissan,Sunny,1984,Used,Manual,Saloon,Petrol,"1,400 cc","390,000 km"
https://ikman.lk/en/ad/toyota-prius-3rd-gen-2014-for-sale-colombo-5,"Rs 14,000,000",Toyota,Prius,2014,Used,Automatic,Saloon,Hybrid,"1,790 cc","96,000 km"
https://ikman.lk/en/ad/audi-a3-advanced-sportsback-2023-for-sale-gampaha,"Rs 15,800,000",Audi,A3,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","35,000 km"
https://ikman.lk/en/ad/kia-sonet-htx-brand-new-2025-for-sale-colombo-6,"Rs 11,525,000",Kia,Other Model,2025,Brand New,Automatic,Hatchback,Petrol,"1,000 cc",100 km
https://ikman.lk/en/ad/mercedes-benz-s350-lwb-2011-for-sale-colombo-7,"Rs 19,800,000",Mercedes Benz,S350,2011,Used,Tiptronic,Saloon,Petrol,"3,500 cc","166,000 km"
https://ikman.lk/en/ad/hyundai-venue-n-line-n10-2025-for-sale-colombo-15,"Rs 13,250,000",Hyundai,Venue,2025,Brand New,Tiptronic,SUV / 4x4,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/toyota-land-cruiser-prado-first-edition-lc250-2024-for-sale-colombo-6,"Rs 58,950,000",Toyota,Land Cruiser Prado,2024,Reconditioned,Automatic,SUV / 4x4,Petrol,"2,700 cc","4,000 km"
https://ikman.lk/en/ad/honda-crv-2018-for-sale-colombo-876,"Rs 15,850,000",Honda,CRV,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","132,000 km"
https://ikman.lk/en/ad/kia-seltos-gtx-plus-a-warranty-2026-for-sale-colombo,"Rs 21,000,000",Kia,Seltos,2026,Brand New,Tiptronic,SUV / 4x4,Petrol,"1,500 cc",0 km
https://ikman.lk/en/ad/toyota-axio-g-grand-2009-for-sale-colombo,"Rs 7,250,000",Toyota,Axio,2009,Used,Automatic,Saloon,Petrol,"1,500 cc","155,000 km"
https://ikman.lk/en/ad/toyota-raize-1200-straight-petrol-2025-for-sale-colombo,"Rs 14,150,000",Toyota,Raize,2025,Brand New,Automatic,Station wagon,Petrol,"1,200 cc",0 km
https://ikman.lk/en/ad/toyota-yaris-ativ-gr-sport-15-hev-2025-for-sale-colombo,"Rs 18,500,000",Toyota,Yaris Ativ,2025,Brand New,Automatic,Saloon,Hybrid,"1,500 cc",0 km
https://ikman.lk/en/ad/nissan-dayz-highway-star-hybrid-2024-for-sale-colombo-44,"Rs 8,200,000",Nissan,Dayz,2024,Brand New,Automatic,Hatchback,Hybrid,660 cc,600 km
https://ikman.lk/en/ad/mitsubishi-pajero-gls-2015-for-sale-hambantota-1,"Rs 32,500,000",Mitsubishi,Pajero,2015,Used,Tiptronic,SUV / 4x4,Diesel,"3,200 cc","134,000 km"
https://ikman.lk/en/ad/volkswagen-id-4-stylish-2023-for-sale-gampaha,"Rs 21,000,000",Volkswagen,ID-4 STYLISH,2023,Used,Automatic,SUV / 4x4,Electric,109 cc,"34,000 km"
https://ikman.lk/en/ad/suzuki-wagon-r-fx-red-2024-for-sale-colombo,"Rs 7,350,000",Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Hatchback,Petrol,660 cc,"6,000 km"
https://ikman.lk/en/ad/toyota-premio-g-superior-2015-for-sale-kurunegala-81,"Rs 10,600,000",Toyota,Premio,2015,Used,Automatic,Saloon,Petrol,"1,500 cc","88,000 km"
https://ikman.lk/en/ad/honda-city-rs-turbo-1l-vtec-2025-for-sale-colombo,"Rs 13,700,000",Honda,City,2025,Brand New,Tiptronic,Saloon,Petrol,"1,000 cc",0 km
https://ikman.lk/en/ad/kia-rio-full-option-import-2015-for-sale-colombo,"Rs 7,000,000",Kia,Rio,2015,Used,Automatic,Saloon,Petrol,"1,400 cc","16,502 km"
https://ikman.lk/en/ad/toyota-ist-ncp110-2009-for-sale-gampaha-1,"Rs 6,800,000",Toyota,IST,2009,Used,Automatic,Hatchback,Petrol,"1,500 cc","116,000 km"
https://ikman.lk/en/ad/toyota-corolla-dx-wagon-1986-for-sale-anuradhapura,"Rs 900,000",Toyota,Corolla,1986,Used,Manual,Station wagon,Petrol,"1,200 cc","200,000 km"
https://ikman.lk/en/ad/toyota-yaris-ativ-premium-luxury-black-2025-for-sale-colombo-2,"Rs 16,200,000",Toyota,Yaris Ativ,2025,Brand New,Tiptronic,Saloon,Petrol,"1,200 cc",0 km
https://ikman.lk/en/ad/bmw-x1-sdrive-18i-m-sport-2025-for-sale-colombo,"Rs 29,500,000",BMW,X1,2025,Import,Automatic,SUV / 4x4,Petrol,"1,500 cc","3,000 km"
https://ikman.lk/en/ad/toyota-hilux-revo-28l-modellista-2025-for-sale-colombo-1,"Rs 25,800,000",Toyota,Hilux,2025,Brand New,Tiptronic,SUV / 4x4,Diesel,"2,800 cc",0 km
https://ikman.lk/en/ad/toyota-yaris-ativ-nightshade-12-2tone-2025-for-sale-colombo,"Rs 15,975,000",Toyota,Yaris Ativ,2025,Brand New,Tiptronic,Saloon,Petrol,"1,200 cc",0 km
https://ikman.lk/en/ad/mahindra-kuv-100-2021-for-sale-colombo-41,"Rs 5,500,000",Mahindra,KUV 100,2021,Used,Manual,Hatchback,Petrol,"1,198 cc","49,000 km"
https://ikman.lk/en/ad/toyota-premio-g-superior-2013-for-sale-colombo-2135,"Rs 11,000,000",Toyota,Premio,2013,Used,Automatic,Saloon,Petrol,"1,500 cc","164,000 km"
