iter	RMSE
0	15964786.82
1	15434500.81
2	14895738.78
3	14397138.67
4	13924580.63
5	13481465.96
6	13061147.6
7	12681443.92
8	12298874.96
9	11931117.78
10	11591453.18
11	11300474.68
12	10982495.18
13	10704365.18
14	10430269.27
15	10173764.62
16	9942411.805
17	9714651.721
18	9500063.502
19	9288985.95
20	9087407.787
21	8942726.38
22	8757495.719
23	8595195.144
24	8432940.58
25	8283961.621
26	8142275.123
27	8011149.133
28	7891598.685
29	7748976.678
30	7596696.909
31	7455649.534
32	7321349.617
33	7194382.351
34	7075761.066
35	6960298.474
36	6872093.402
37	6784010.265
38	6696446.455
39	6617916.341
40	6543515.586
41	6466066.53
42	6396280.904
43	6319178.091
44	6249033.187
45	6183842.411
46	6123442.548
47	6063978.154
48	6017848.254
49	5963215.884
50	5914999.366
51	5857458.476
52	5822092.277
53	5784482.901
54	5753720.893
55	5716306.023
56	5682812.631
57	5641584.805
58	5614133.835
59	5592173.456
60	5558245.9
61	5523604.579
62	5495542.229
63	5480125.261
64	5456702.383
65	5423264.927
66	5388071.213
67	5370042.513
68	5353519.572
69	5328242.046
70	5294694.833
71	5278042.32
72	5261866.696
73	5249861.241
74	5236288.042
75	5215597.659
76	5197671.896
77	5186643.246
78	5164613.3
79	5154406.14
80	5140998.269
81	5118756.428
82	5094516.256
83	5083655.967
84	5075115.258
85	5068481.537
86	5050842.34
87	5030314.034
88	5017223.873
89	5004282.305
90	4991115.529
91	4976872.728
92	4976189.454
93	4961749.681
94	4953268.701
95	4948103.167
96	4943025.016
97	4932079.702
98	4917783.485
99	4903080.782
100	4879351.215
101	4866177.113
102	4847245.316
103	4838856.497
104	4821436.371
105	4806196.187
106	4792530.529
107	4782396.067
108	4769330.862
109	4765283.491
110	4760784.379
111	4748715.769
112	4743640.071
113	4740782.675
114	4736488.725
115	4736086.217
116	4723668.878
117	4704745.532
118	4700321.111
119	4689081.674
120	4678688.501
121	4666766.812
122	4651365.261
123	4633232.646
124	4627310.542
125	4617565.26
126	4608901.018
127	4592485.459
128	4585698.652
129	4572470.698
130	4556830.452
131	4545488.057
132	4534046.142
133	4522257.025
134	4508582.438
135	4501347.606
136	4498855.038
137	4495980.482
138	4490810.586
139	4485389.929
140	4475268.45
141	4465648.713
142	4458772.762
143	4444970.966
144	4436103.067
145	4431011.045
146	4412093.03
147	4405683.048
148	4404512.683
149	4396129.184
150	4387178.269
151	4383130.6
152	4372387.064
153	4366807.709
154	4359750.747
155	4353255.785
156	4349266.195
157	4342182.911
158	4328589.781
159	4315713.085
160	4305416.431
161	4294958.66
162	4287981.493
163	4283646.845
164	4273877.174
165	4264718.862
166	4262911.338
167	4260831.089
168	4257243.052
169	4252910.683
170	4240680.701
171	4230330.584
172	4225129.679
173	4217559.303
174	4212700.836
175	4209092.508
176	4199291.532
177	4186765.699
178	4178404.618
179	4174428.922
180	4164997.777
181	4156787.871
182	4152076.466
183	4148626.117
184	4135704.129
185	4132217.766
186	4123921.564
187	4120725.608
188	4117132.058
189	4112701.308
190	4109039.545
191	4105561.962
192	4099766.655
193	4097466.861
194	4095917.47
