iter	Passed	Remaining
0	97	97434
1	128	63927
2	161	53678
3	187	46653
4	209	41602
5	233	38732
6	261	37030
7	302	37549
8	337	37203
9	359	35541
10	380	34236
11	406	33473
12	427	32469
13	451	31796
14	480	31523
15	507	31236
16	530	30702
17	558	30464
18	582	30085
19	604	29627
20	627	29276
21	650	28928
22	673	28617
23	703	28607
24	726	28331
25	747	27996
26	768	27705
27	791	27468
28	811	27155
29	832	26905
30	855	26739
31	878	26575
32	903	26488
33	925	26304
34	945	26077
35	967	25913
36	987	25713
37	1010	25589
38	1032	25449
39	1053	25276
40	1088	25470
41	1114	25430
42	1137	25309
43	1158	25166
44	1186	25169
45	1211	25131
46	1237	25088
47	1262	25033
48	1282	24894
49	1305	24802
50	1326	24687
51	1350	24611
52	1371	24507
53	1394	24421
54	1418	24371
55	1440	24276
56	1460	24167
57	1483	24097
58	1505	24016
59	1526	23915
60	1548	23837
61	1569	23738
62	1591	23671
63	1613	23590
64	1633	23491
65	1654	23416
66	1676	23346
67	1696	23253
68	1718	23192
69	1741	23136
70	1766	23110
71	1790	23081
72	1812	23012
73	1833	22949
74	1857	22908
75	1882	22882
76	1907	22868
77	1938	22912
78	1968	22945
79	1991	22902
80	2015	22862
81	2042	22863
82	2065	22820
83	2087	22762
84	2109	22705
85	2131	22652
86	2153	22601
87	2174	22537
88	2195	22468
89	2216	22414
90	2241	22386
91	2266	22366
92	2274	22181
93	2299	22162
94	2321	22119
95	2344	22074
96	2366	22028
97	2386	21969
98	2408	21919
99	2428	21859
100	2451	21823
101	2510	22106
102	2542	22145
103	2572	22159
104	2600	22167
105	2657	22415
106	2695	22495
107	2721	22474
108	2745	22441
109	2767	22389
110	2831	22675
111	2884	22872
112	2911	22852
113	2932	22794
114	2955	22747
115	2963	22586
116	2987	22544
117	3011	22513
118	3042	22521
119	3070	22519
120	3101	22527
121	3126	22501
122	3152	22474
123	3196	22578
124	3223	22562
125	3256	22586
126	3280	22549
127	3307	22534
128	3335	22519
129	3363	22508
130	3388	22476
131	3415	22461
132	3439	22421
